Reciept No.,Transaction Date rec,Breakfast/Lunch freq,Pay Method,Pay Amaount,member id
8970,13-10-2024,1,cash,452,NB009
8973,13-10-2024,1,online,5695,NB010
8977,13-10-2024,1,online,8785,NB011
8979,13-10-2024,1,online,545,NB012
8985,13-10-2024,2,online,2323,NB013
8991,14-10-2024,2,online,856,NB015
8996,14-10-2024,2,card,585,NB012
8999,14-10-2024,1,card,6578,NB013
9111,14-10-2024,1,card,2563,NB014
9123,14-10-2024,1,online,2000,NB015
9129,14-10-2024,1,online,4200,NB008
9132,14-10-2024,1,online,500,NB012
9145,14-10-2024,2,online,780,NB013
9150,14-10-2024,2,card,560,NB014
9154,15-10-2024,1,card,682,NB015
9160,15-10-2024,1,card,590,NB016
9162,15-10-2024,1,card,258,NB017
9165,15-10-2024,1,card,2200,NB018
9169,15-10-2024,2,cash,2200,NB019
9174,15-10-2024,2,cash,7895,NB007
9189,15-10-2024,2,cash,2300,NB013
9199,15-10-2024,1,cash,5454,NB014
9212,15-10-2024,1,cash,898,NB015
9222,15-10-2024,1,online,452,NB008
9232,16-10-2024,1,online,5695,NB009
9235,16-10-2024,1,online,8785,NB010
9245,16-10-2024,2,online,545,NB011
9250,16-10-2024,2,online,856,NB012
9252,16-10-2024,2,card,585,NB013
9256,16-10-2024,1,card,6578,NB015
9265,17-10-2024,1,card,2563,NB012
9271,17-10-2024,1,online,2000,NB013
9275,17-10-2024,1,online,4200,NB014
9279,17-10-2024,1,online,500,NB015
9281,17-10-2024,2,online,780,NB008
9285,17-10-2024,2,card,560,NB012
9288,17-10-2024,1,card,682,NB014
9291,17-10-2024,1,card,590,NB015
9296,17-10-2024,1,card,258,NB016
9298,17-10-2024,1,card,2200,NB017
9299,17-10-2024,2,cash,7895,NB018
9310,17-10-2024,2,cash,2300,NB019
9313,18-10-2024,2,cash,5454,NB007
9315,18-10-2024,1,cash,898,NB013
9320,18-10-2024,1,cash,452,NB014
9324,18-10-2024,1,online,5695,NB015
9330,18-10-2024,1,online,8785,NB008
9334,18-10-2024,1,online,545,NB009
9341,18-10-2024,2,online,2323,NB010
9345,18-10-2024,2,online,856,NB011
9349,19-10-2024,2,card,585,NB012
9351,19-10-2024,1,card,6578,NB013
9356,19-10-2024,1,card,2563,NB014
9360,19-10-2024,1,online,2000,NB015
9364,19-10-2024,1,online,4200,NB008
9369,19-10-2024,1,online,500,NB012
9371,20-10-2024,2,online,780,NB014
9373,20-10-2024,2,card,560,NB015
9377,20-10-2024,1,card,682,NB016
9380,21-10-2024,1,card,590,NB017
9383,21-10-2024,1,card,258,NB018
9385,21-10-2024,1,card,2200,NB019
9387,21-10-2024,2,cash,7895,NB007
9389,21-10-2024,2,cash,2300,NB013
9391,21-10-2024,2,cash,5454,NB014
9395,22-10-2024,1,cash,898,NB015
9397,22-10-2024,1,cash,452,NB008
9399,22-10-2024,1,online,5695,NB013
9411,22-10-2024,1,online,8785,NB014
9423,22-10-2024,1,online,545,NB015
9426,22-10-2024,2,online,2323,NB008
9432,22-10-2024,2,online,856,NB009
9434,22-10-2024,2,card,585,NB010
9437,22-10-2024,1,card,6578,NB011
9442,23-10-2024,1,card,2563,NB012
9451,23-10-2024,1,online,2000,NB013
9453,23-10-2024,1,online,4200,NB014
9455,23-10-2024,1,online,500,NB015
9465,24-10-2024,2,online,5454,NB008
9469,24-10-2024,2,online,898,NB012
9475,24-10-2024,2,online,452,NB013
9489,24-10-2024,1,card,5695,NB001
9499,24-10-2024,1,card,8785,NB002
9525,24-10-2024,1,card,545,NB003
9555,24-10-2024,1,online,2323,NB004
9567,24-10-2024,1,online,856,NB005
9578,25-10-2024,2,online,585,NB006
9589,25-10-2024,2,online,6578,NB007
9591,25-10-2024,2,online,2563,NB008
9611,25-10-2024,1,online,2000,NB009
9632,25-10-2024,1,card,4200,NB010
9656,25-10-2024,1,card,5454,NB011
9666,25-10-2024,1,card,898,NB012
9675,25-10-2024,1,online,452,NB013
9679,25-10-2024,2,online,5695,NB014
9688,25-10-2024,2,online,8785,NB015
